IdClient;TypeDevice;LibelleDevice;TypeUsageId;NbrJourTravaille;NbrHeuresIntensifJour;NbrHeuresNonIntensifJour;NbrHeuresOffJour;UtiliseEnergieExterne;CoeffNonIntensif;CoeffModeOff;CoeffReductionWattExterne;PourcentageConsoExterne;ClasseDevice;AgeDevice;QteDevice;ConsommationIntensif;ConsommationNonIntensif;ConsommationWatt;ConsommationCo2;CoefficientConversion;ConsommationIntensifUnitaire
17;8;;3;;;;;;;;;;2;3;6;;;;;;
17;1;;1;;;;;;;;;;1;2;60;;;;;;
17;1;;1;;;;;;;;;;1;4;54;;;;;;
17;1;;1;;;;;;;;;;3;2;1;;;;;;
17;1;;1;;;;;;;;;;3;4;27;;;;;;
17;1;;1;;;;;;;;;;2;2;214;;;;;;
17;1;;1;;;;;;;;;;2;3;163;;;;;;
17;1;;1;;;;;;;;;;2;1;132;;;;;;
17;1;;1;;;;;;;;;;2;4;81;;;;;;
17;4;;1;;;;;;;;;;1;2;299;;;;;;
17;4;;1;;;;;;;;;;1;3;145;;;;;;
17;4;;1;;;;;;;;;;1;1;85;;;;;;
17;4;;1;;;;;;;;;;1;4;133;;;;;;
17;4;;1;;;;;;;;;;3;2;11;;;;;;
17;4;;1;;;;;;;;;;3;1;1;;;;;;
17;4;;1;;;;;;;;;;2;2;22;;;;;;
17;4;;1;;;;;;;;;;2;3;7;;;;;;
17;4;;1;;;;;;;;;;2;1;16;;;;;;
17;4;;1;;;;;;;;;;2;4;1;;;;;;
17;5;;4;;;;;;;;;;1;2;2;;;;;;
17;5;;4;;;;;;;;;;1;3;1;;;;;;
17;5;;4;;;;;;;;;;1;1;8;;;;;;
17;5;;4;;;;;;;;;;1;4;1;;;;;;
17;5;;4;;;;;;;;;;2;3;1;;;;;;
17;5;;4;;;;;;;;;;2;4;2;;;;;;
17;7;;4;;;;;;;;;;2;2;1;;;;;;
17;7;;4;;;;;;;;;;2;3;1;;;;;;
17;7;;4;;;;;;;;;;2;4;3;;;;;;
17;2;;1;;;;;;;;;;2;2;71;;;;;;
17;2;;1;;;;;;;;;;2;3;40;;;;;;
17;2;;1;;;;;;;;;;2;1;15;;;;;;
17;2;;1;;;;;;;;;;2;4;10;;;;;;
17;10;;7;;;;;;;;;;2;2;130;;;;;;
17;10;;7;;;;;;;;;;2;3;13;;;;;;
17;10;;7;;;;;;;;;;2;1;305;;;;;;
17;12;;1;;;;;;;;;;1;2;32;;;;;;
17;12;;1;;;;;;;;;;1;3;8;;;;;;
17;12;;1;;;;;;;;;;1;1;1;;;;;;
17;12;;1;;;;;;;;;;1;4;3;;;;;;
17;12;;1;;;;;;;;;;3;2;69;;;;;;
17;12;;1;;;;;;;;;;3;3;4;;;;;;
17;12;;1;;;;;;;;;;3;1;32;;;;;;
17;12;;1;;;;;;;;;;2;2;10;;;;;;
17;12;;1;;;;;;;;;;2;3;25;;;;;;
17;12;;1;;;;;;;;;;2;1;4;;;;;;
17;12;;1;;;;;;;;;;2;4;18;;;;;;
17;16;;7;;;;;;;;;;3;2;3;;;;;;
17;27;;20;;;;;;;;;;1;2;2;;;;;;
17;25;;19;;;;;;;;;;2;3;6;;;;;;
17;25;;19;;;;;;;;;;2;1;91;;;;;;
17;25;;19;;;;;;;;;;2;4;12;;;;;;
17;22;;16;;;;;;;;;;1;2;125;;;;;;
17;22;;16;;;;;;;;;;1;3;67;;;;;;
17;22;;16;;;;;;;;;;1;1;42;;;;;;
17;22;;16;;;;;;;;;;1;4;18;;;;;;
17;22;;16;;;;;;;;;;3;2;11;;;;;;
17;22;;16;;;;;;;;;;3;3;3;;;;;;
17;22;;16;;;;;;;;;;3;1;2;;;;;;
17;22;;16;;;;;;;;;;2;2;37;;;;;;
17;22;;16;;;;;;;;;;2;3;20;;;;;;
17;22;;16;;;;;;;;;;2;1;23;;;;;;
17;22;;16;;;;;;;;;;2;4;2;;;;;;
17;20;;6;;;;;;;;;;2;2;2;;;;;;
17;17;;12;;;;;;;;;;2;2;8;;;;;;
17;43;;19;;;;;;;;;;2;2;7;;;;;;
17;43;;19;;;;;;;;;;2;3;2;;;;;;
17;43;;19;;;;;;;;;;2;1;2;;;;;;
17;34;;19;;;;;;;;;;2;1;3;;;;;;
17;34;;19;;;;;;;;;;2;4;8;;;;;;
17;33;;19;;;;;;;;;;2;2;14;;;;;;
17;33;;19;;;;;;;;;;2;3;15;;;;;;
17;33;;19;;;;;;;;;;2;1;37;;;;;;
17;33;;19;;;;;;;;;;2;4;9;;;;;;
17;48;;18;;;;;;;;;;2;2;1;;;;;;
17;47;;18;;;;;;;;;;2;1;1;;;;;;
17;41;;23;;;;;;;;;;3;3;1;;;;;;
17;39;;19;;;;;;;;;;3;2;1;;;;;;
17;39;;19;;;;;;;;;;3;3;2;;;;;;
17;39;;19;;;;;;;;;;3;4;3;;;;;;
17;36;;19;;;;;;;;;;3;3;2;;;;;;
17;36;;19;;;;;;;;;;2;2;3;;;;;;
17;36;;19;;;;;;;;;;2;4;4;;;;;;
17;46;;19;;;;;;;;;;3;3;2;;;;;;
17;46;;19;;;;;;;;;;3;1;1;;;;;;
17;46;;19;;;;;;;;;;2;4;1;;;;;;
17;45;;19;;;;;;;;;;2;2;2;;;;;;
17;60;;4;;;;;;;;;;2;2;120;;;;;;
17;60;;4;;;;;;;;;;2;3;15;;;;;;
17;60;;4;;;;;;;;;;2;1;65;;;;;;
17;78;;17;;;;;;;;;;1;2;1;;;;;;
17;78;;17;;;;;;;;;;1;3;1;;;;;;
17;78;;17;;;;;;;;;;3;3;8;;;;;;
17;78;;17;;;;;;;;;;2;2;107;;;;;;
17;78;;17;;;;;;;;;;2;3;35;;;;;;
17;78;;17;;;;;;;;;;2;1;42;;;;;;
17;78;;17;;;;;;;;;;2;4;8;;;;;;
17;65;;3;;;;;;;;;;1;4;1;;;;;;
17;62;;3;;;;;;;;;;2;2;22;;;;;;
17;62;;3;;;;;;;;;;2;3;5;;;;;;
17;62;;3;;;;;;;;;;2;1;4;;;;;;
17;62;;3;;;;;;;;;;2;4;2;;;;;;
